time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2019-05-09,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-05-10,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-05-13,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-05-14,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-05-15,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-05-16,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-05-17,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-05-20,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-05-21,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-05-22,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-05-23,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-05-24,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-05-27,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-05-28,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-05-29,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-05-30,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-05-31,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-03,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-04,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-05,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-06,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-07,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-10,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-11,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-12,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-13,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-14,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-17,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-18,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-19,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-20,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-21,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-24,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-25,1.651,1.651,1.651,1.651,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-26,1.562,1.562,1.562,1.562,5000,7810.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-27,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-06-28,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-01,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-02,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-03,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-04,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-05,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-08,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-09,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-10,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-11,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-12,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-15,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-16,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-17,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-18,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-19,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-22,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-23,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-24,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-25,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-26,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-29,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-30,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-07-31,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-01,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-02,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-05,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-06,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-07,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-08,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-09,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-12,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-13,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-14,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-15,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-16,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-19,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-20,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-21,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-22,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-23,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-26,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-27,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-28,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-29,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-08-30,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-03,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-04,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-05,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-06,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-09,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-10,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-11,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-12,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-13,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-16,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-17,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-18,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-19,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-20,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-23,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-24,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-25,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-26,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-27,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-09-30,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-01,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-02,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-03,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-04,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-07,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-08,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-09,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-10,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-11,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-14,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-15,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-16,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-17,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-18,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-21,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-22,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-23,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-24,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-25,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-28,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-29,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-30,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-10-31,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-01,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-04,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-05,1.562,1.562,1.562,1.562,100,156.20000000000002,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-06,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-07,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-08,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-11,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-12,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-13,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-14,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-15,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-18,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-19,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-20,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-21,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-22,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-25,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-26,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-27,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-28,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-11-29,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-02,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-03,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-04,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-05,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-06,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-09,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-10,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-11,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-12,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-13,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-16,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-17,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-18,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-19,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-20,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-23,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-24,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-25,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-26,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-27,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-30,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2019-12-31,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-02,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-03,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-06,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-07,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-08,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-09,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-10,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-13,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-14,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-15,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-16,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-17,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-20,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-21,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-22,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-30,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-01-31,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-03,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-04,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-05,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-06,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-07,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-10,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-11,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-12,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-13,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-14,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-17,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-18,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-19,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-20,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-21,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-24,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-25,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-26,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-27,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-02-28,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-02,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-03,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-04,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-05,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-06,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-09,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-10,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-11,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-12,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-13,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-16,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-17,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-18,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-19,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-20,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-23,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-24,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-25,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-26,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-27,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-30,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-03-31,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-04-01,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-04-03,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-04-06,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-04-07,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-04-08,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-04-09,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-04-10,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-04-13,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-04-14,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-04-15,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-04-16,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
2020-04-17,1.562,1.562,1.562,1.562,0,0.0,0.0,0.0,0.0,0.0,,0.43,0.0,0.0
